dataset,embedding_label,embedding,holdout_cell_type,score_method,method_label,target_known_coverage,target_known_coverage_label,known_coverage_mean,known_coverage_std,unknown_recall_mean,unknown_recall_std,accepted_known_accuracy_mean,accepted_known_accuracy_std,n_split_seeds
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD19+ B,proto_1_minus_max_cosine,Raw prototype,0.8,80%,0.8062913907284768,0.0098297533833095,0.7207885304659498,0.0158983907643131,0.6012383790109804,0.0208323113388536,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD19+ B,proto_class_z,Class-z prototype,0.95,95%,0.95182119205298,0.009427641375833,0.6189964157706094,0.0403643749948002,0.6079640443205673,0.0203527270319116,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD19+ B,proto_class_z,Class-z prototype,0.9,90%,0.9102649006622516,0.0149763530110299,0.689247311827957,0.0334698710535591,0.6172984107983132,0.0198960254181104,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD19+ B,proto_class_z,Class-z prototype,0.8,80%,0.8102649006622518,0.0220375992939592,0.7272401433691756,0.0316144474139067,0.6409616073627611,0.0233153718811215,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD19+ B,mahalanobis_diag_min,Diag. Mahalanobis,0.95,95%,0.9528145695364236,0.0131150492696646,0.6232974910394266,0.0405984193251444,0.6251256613294911,0.0186759320906592,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD19+ B,mahalanobis_diag_min,Diag. Mahalanobis,0.9,90%,0.91158940397351,0.0068613793990404,0.7121863799283155,0.0127731395564196,0.6256550921009578,0.0168905162314281,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD19+ B,mahalanobis_diag_min,Diag. Mahalanobis,0.8,80%,0.8152317880794703,0.0190882623737495,0.7469534050179212,0.0103260647246508,0.6294703125912993,0.0167758715394937,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD56+ NK,mlp_maxprob,MLP maxprob,0.95,95%,0.9476066144473456,0.0083342138345511,0.0002344665885111,0.0005242832303633,0.7197569341445711,0.0177933536990883,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD56+ NK,mlp_maxprob,MLP maxprob,0.9,90%,0.8992167101827675,0.0085140449792136,0.0004689331770222,0.0010485664607267,0.737722484758761,0.0152349074898091,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD56+ NK,mlp_maxprob,MLP maxprob,0.8,80%,0.795822454308094,0.0208931672640642,0.0004689331770222,0.0010485664607267,0.7699819311066725,0.0127136009742689,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD56+ NK,proto_1_minus_max_cosine,Raw prototype,0.95,95%,0.9559617058311576,0.0164396434508165,0.3819460726846424,0.0959968178352552,0.6194294619533517,0.0075767101389492,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD56+ NK,proto_1_minus_max_cosine,Raw prototype,0.9,90%,0.9030461270670148,0.0163124444672282,0.5889800703399766,0.0366117156707344,0.6226534683891332,0.010618934050059,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD56+ NK,proto_1_minus_max_cosine,Raw prototype,0.8,80%,0.8012184508268059,0.0290197259055668,0.8295427901524033,0.0490464089787488,0.6247483200057111,0.0132703917760587,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD56+ NK,proto_class_z,Class-z prototype,0.95,95%,0.9510879025239338,0.0123604112436185,0.1667057444314185,0.0265837965761306,0.6235089185089879,0.0073156090459081,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD56+ NK,proto_class_z,Class-z prototype,0.9,90%,0.9058311575282854,0.0250918532320868,0.1697538100820633,0.023902370894396,0.6347138047003507,0.0140778753113406,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD56+ NK,proto_class_z,Class-z prototype,0.8,80%,0.8060922541340296,0.0386750188813671,0.2858147713950761,0.0669791063911321,0.6627265241415068,0.014317840680343,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD56+ NK,mahalanobis_diag_min,Diag. Mahalanobis,0.95,95%,0.9577023498694516,0.007798978874576,0.5971864009378663,0.0411286744414419,0.6140698231009293,0.0324950969805512,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD56+ NK,mahalanobis_diag_min,Diag. Mahalanobis,0.9,90%,0.9082680591818972,0.0140416148127019,0.8028135990621337,0.0331627275034285,0.6109513684827187,0.0304783055839352,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,CD56+ NK,mahalanobis_diag_min,Diag. Mahalanobis,0.8,80%,0.8128807658833768,0.0137334498155435,0.9357561547479484,0.0089436019332992,0.6074266941994098,0.0244038004986185,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Dendritic,mlp_maxprob,MLP maxprob,0.95,95%,0.9558157689305228,0.0047676601044816,0.0278350515463917,0.041010977898796,0.7344115661920421,0.0097280667175682,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Dendritic,mlp_maxprob,MLP maxprob,0.9,90%,0.9075722092115536,0.0128462154134109,0.0577319587628865,0.064319487659027,0.754166130236668,0.0155798781860683,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Dendritic,mlp_maxprob,MLP maxprob,0.8,80%,0.8095238095238095,0.0108168668700632,0.1030927835051546,0.0958125272960881,0.791887686151955,0.0052094300630497,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Dendritic,proto_1_minus_max_cosine,Raw prototype,0.95,95%,0.952224824355972,0.0135143213548042,0.0288659793814433,0.0617051433057543,0.6199208679270904,0.0128960035782338,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Dendritic,proto_1_minus_max_cosine,Raw prototype,0.9,90%,0.9097580015612804,0.0069076726949661,0.0742268041237113,0.0594014857356203,0.621739583061807,0.0161597353744398,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Dendritic,proto_1_minus_max_cosine,Raw prototype,0.8,80%,0.8112412177985948,0.0119593455666027,0.3731958762886598,0.0129380416474341,0.6209218577484152,0.0163874228981186,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Dendritic,proto_class_z,Class-z prototype,0.95,95%,0.9537861046057768,0.0057205529931494,0.4422680412371134,0.0686167475970875,0.6246108516013498,0.0113795583948937,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Dendritic,proto_class_z,Class-z prototype,0.9,90%,0.9041373926619828,0.0116234142712681,0.520618556701031,0.0658100274989881,0.6354010302823909,0.0136682912771448,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Dendritic,proto_class_z,Class-z prototype,0.8,80%,0.7937548790007807,0.0145354268907892,0.6175257731958762,0.0719252277631201,0.6621464904094949,0.0158369222700718,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Dendritic,mahalanobis_diag_min,Diag. Mahalanobis,0.95,95%,0.95487900078064,0.0114650497292367,0.5628865979381443,0.0197631850646193,0.6270734372317144,0.0179848980433557,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Dendritic,mahalanobis_diag_min,Diag. Mahalanobis,0.9,90%,0.901951600312256,0.0132777683378268,0.6257731958762887,0.0118668705497127,0.6278146122528587,0.0159367252103353,5
zheng68k,scFoundation,zheng68k_scfoundation_all_t4_ce.npy,Dendritic,mahalanobis_diag_min,Diag. Mahalanobis,0.8,80%,0.7915690866510539,0.0141272139507055,0.6876288659793814,0.0058771929128821,0.6283689869735243,0.0134679732901524,5
